id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81
24613,81,20,58,3,3,58,40,5,3,64,13,61,58,60,40,5,58,60,40,32,1,13,5,2,59,13,4,41,60,1,20,59,35,13,5,2,59,13,45,41,59,40,19,2,13,60,23,13,20,22,40,59,13,22,38,38,15,13,3,22,22,21,57,64,22,63,15,13,58,40,1,13,5,2,59,41,59,13,60,23,13
24614,20,58,3,3,58,40,5,13,58,40,1,13,61,22,23,5,13,4,41,58,42,59,13,4,58,23,23,58,20,59,23,53,13,68,58,41,41,64,15,13,5,2,32,57,58,5,2,42,59,41,23,58,41,64,13,24,58,23,13,2,58,42,59,13,4,22,23,23,59,23,23,60,22,40,13,22,38,13,5,2,59
24615,13,4,41,60,1,20,59,35,13,37,63,5,13,2,59,13,60,23,13,59,40,38,22,41,19,59,1,57,5,22,13,41,59,5,60,41,59,15,13,58,40,1,13,5,2,59,13,7,63,21,59,13,22,38,13,66,6,59,5,59,41,13,60,23,13,61,58,23,5,59,41,13,22,38,13,5,2,59,13,4,41
24616,60,1,20,59,35,13,67,13,19,58,40,57,5,59,3,3,13,64,22,63,41,13,68,58,39,59,23,5,64,13,5,2,59,13,7,63,21,59,13,60,23,13,58,13,4,41,58,42,59,13,61,58,40,53,57,11,2,59,13,4,59,41,1,60,5,60,22,40,13,22,38,13,5,2,32,13,58,5,2,42,59
24617,41,23,58,41,64,13,2,58,5,2,13,37,59,59,40,13,42,59,41,64,13,20,41,59,58,5,15,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24618,81,41,59,58,23,22,40,58,37,3,59,13,20,41,59,58,5,35,13,61,58,41,41,64,15,13,38,22,41,13,61,64,13,4,58,41,5,15,13,67,13,5,2,60,40,21,13,5,2,59,13,7,63,21,59,13,2,58,5,2,13,3,22,23,5,57,40,59,42,59,41,13,58,13,61,58,40,15,13,37,63
24619,5,13,22,40,59,13,5,2,58,5,13,60,23,13,3,60,21,59,13,5,22,13,37,59,13,59,6,59,19,63,5,59,1,13,38,22,41,13,41,22,37,37,60,40,20,13,58,57,19,2,63,41,19,2,76,13,22,40,59,13,44,58,41,1,22,3,4,2,15,13,60,38,13,64,22,63,41,13,68,58,39
24620,59,23,5,64,13,21,40,22,24,13,5,2,59,13,61,58,40,35,13,2,60,23,13,38,58,19,59,13,60,23,57,58,3,3,13,37,63,37,63,21,3,59,23,15,13,58,40,1,13,24,2,59,3,21,23,15,13,58,40,1,13,21,40,22,37,23,15,13,58,40,1,13,38,3,58,61,59,23,13,22,32
24621,13,38,60,41,59,35,13,58,40,1,13,2,60,23,57,3,60,4,23,13,37,3,22,24,23,13,58,5,13,2,60,23,13,40,22,23,59,15,13,58,40,1,13,60,5,13,60,23,13,3,60,21,59,13,58,13,19,22,58,3,13,22,38,13,38,60,41,59,15,13,23,22,61,59,5,60,61,59,23,57,4
24622,3,63,59,13,58,40,1,13,23,22,61,59,5,60,61,59,23,13,41,59,1,35,13,37,63,5,13,2,60,23,13,40,22,23,59,13,60,23,13,59,6,59,19,63,5,59,1,13,58,40,1,13,2,60,23,13,38,60,41,59,32,23,57,22,63,5,53,57,29,22,73,13,60,40,13,5,2,59,13,40,58
